User,Classifier,Actual
1,4.0,1
3,4.0,3
1,4.0,6
0,4.0,0
2,4.0,4
4,6.0,6
2,4.0,4
6,4.0,4
0,4.0,4
2,6.0,6
1,6.0,6
1,4.0,4
0,0.0,0
